,respondent,resp_id_old,subset,subset_old,survey_immediate_start,sns_filename_x,sns_findSpecific_Item1_RT,sns_findSpecific_Item1_AOISelected,sns_findSpecific_Item1_AOIAccuracy,sns_findSpecific_Item1_FixationCount,sns_findSpecific_Item2_RT,sns_findSpecific_Item2_AOISelected,sns_findSpecific_Item2_AOIAccuracy,sns_findSpecific_Item2_FixationCount,sns_findSpecific_Item3_RT,sns_findSpecific_Item3_AOISelected,sns_findSpecific_Item3_AOIAccuracy,sns_findSpecific_Item3_FixationCount,sns_findSpecific_Item4_RT,sns_findSpecific_Item4_AOISelected,sns_findSpecific_Item4_AOIAccuracy,sns_findSpecific_Item4_FixationCount,sns_findSpecific_Item5_RT,sns_findSpecific_Item5_AOISelected,sns_findSpecific_Item5_AOIAccuracy,sns_findSpecific_Item5_FixationCount,sns_findSpecific_Item1_subjUndiscovered,sns_findSpecific_Item2_subjUndiscovered,sns_findSpecific_Item3_subjUndiscovered,sns_findSpecific_Item4_subjUndiscovered,sns_findSpecific_Item5_subjUndiscovered,sns_findAnything_BackPage_RT,sns_findAnything_BackPage_AOISelected,sns_findAnything_BackPage_AOIAccuracy,sns_findAnything_BackPage_FixationCount,sns_findAnything_FrontPage_RT,sns_findAnything_FrontPage_AOISelected,sns_findAnything_FrontPage_AOIAccuracy,sns_findAnything_FrontPage_FixationCount
10,11,31,2,Nandos_Menu_NewFunctional_Subset2,05/19/2025 11:21:29 AM,002_Resp_031.csv,66228,Item_09,4,198,10095,Item_17,4,34,7852,Item_61,4,26,13297,Item_10,4,37,13762,Item_30,4,48,,,,,,22261,Item_88,4,53,35382,InfoHowtoNando's,3,103
11,12,4,1,Nandos_Menu_Current_Subset1,05/19/2025 11:51:59 AM,002_Resp_004 (3).csv,64656.1395,Item_73,4,142,27331.9272,Item_17,4,73,95559.4052,Item_61,4,237,7161.7896,Item_10,4,18,19468.8714,Item_46,3,28,0,1,0,1,0,49324.9974,Item_109,3,106,158919.3066,Item_06,4,296
12,13,12,1,Nandos_Menu_Current_Subset1_2 (1),05/20/2025 1:36:36 PM,001_Resp_012.csv,5142.7997,Item_16,4,11,12796.815,Item_73,4,32,54949.7195,Item_42,3,98,5794.074,Item_10,3,16,2938.0503,Item_30,4,8,0,1,0,1,0,50564.299,Item_102,3,77,61399.9288,Heading_03,4,133
13,14,37,2,Nandos_Menu_NewFunctional_Subset2_2,05/20/2025 2:30:50 PM,009_Resp_037.csv,29626.3943,Item_06,3,71,7698.3824,Item_65,4,15,11736.2335,,4,22,10319.4707,Item_10,4,24,81138.2225,Item_30,4,185,0,0,0,1,0,21064.1178,Item_119,4,46,90529.5021,Item_06,3,177
14,15,40,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/20/2025 2:38:16 PM,003_Resp_040.csv,29738.0325,Item_23,3,51,9054.7444,,3,1,3706.9754,,2,,6825.7578,,3,1,45452.8714,Item_26,4,45,0,1,1,1,0,35654.6819,Heading_27,4,86,102042.7125,Item_41,4,212
15,16,13,1,Nandos_Menu_Current_Subset1_2,05/20/2025 3:21:20 PM,011_Resp_013 .csv,12801.9888,Item_73,4,35,10884.5138,Item_17,4,34,46732.8576,Item_61,3,119,7518.3952,Item_10,4,24,4208.0731,Item_30,4,9,0,0,1,1,0,45321.5379,Item_26,4,98,114839.731,Item_31 dwelled on; Item_31 dwelled on (1),4,248
16,17,14,1,Nandos_Menu_Current_Subset1_2 (1),05/20/2025 3:34:50 PM,002_Resp_014.csv,2852.7457,,2,,3394.882,Item_17,3,12,47749.3367,,3,38,4297.5773,,4,9,5573.9779,Item_26,3,7,0,0,0,1,0,34056.2092,Heading_15,3,96,92308.9807,Item_23,4,219
17,18,42,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/20/2025 4:26:15 PM,004_Resp_042.csv,3727.3032,Item_41,4,5,37030.022,Item_17,4,108,11829.6795,Item_20,4,31,4694.9482,Item_47,4,11,15402.0578,Item_30,4,48,0,1,0,1,0,20149.5277,Item_115,3,43,77593.6285,Heading_20,3,236
18,19,11,1,Nandos_Menu_Current_Subset1_2,05/20/2025 9:21:59 AM,012_Resp_011.csv,21209.2447,Item_03,4,63,88511.3209,,3,192,114878.7972,,4,252,11386.8065,Item_10,4,24,20198.3546,Item_30,3,39,0,0,0,0,0,43815.6232,Item_92,3,76,147968.1143,Item_16,4,329
19,20,33,2,Nandos_Menu_NewFunctional_Subset2_2,05/20/2025 10:20:54 AM,011_Resp_033.csv,34898.8487,Item_65,4,96,23550.6876,Item_17,4,57,15144.9506,Item_61,3,33,26517.8195,Item_70,3,54,10487.0679,Item_30,3,19,0,0,1,0,0,93139.7594,Item_13,4,190,76904.957,Item_111,4,196
20,21,36,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/20/2025 10:38:52 AM,001_Resp_036.csv,20238.451,Item_09,4,56,12310.81,Item_44,4,30,10670.6967,Item_83,3,26,6132.8724,Item_47,4,18,7980.9926,Item_46,3,22,0,1,0,1,1,75262.1877,Item_46,4,121,101432.1809,Item_28,4,220
21,22,61,3,Nandos_Menu_NewUnique_Subset3_2,05/20/2025 11:14:26 AM,017_Resp_061.csv,13602.3897,Item_09,3,41,6119.4303,Item_15,4,13,8084.7626,,3,19,3039.6132,Item_47,4,7,6660.3058,Item_46,4,16,0,0,0,0,0,7284.4679,Heading_25,4,12,51360.9896,Item_35,4,136
22,23,38,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/20/2025 11:30:49 AM,002_Resp_038.csv,4034.1145,Item_09,4,10,5349.644,Item_17,3,13,12997.422,Item_61,4,39,5737.4742,Item_47,3,15,4091.6105,Item_30,4,11,0,1,0,1,0,12105.9463,Item_88,4,31,78438.7737,Item_37,4,226
23,24,35,2,Nandos_Menu_NewFunctional_Subset2_2,05/20/2025 12:47:28 PM,010_Resp_035.csv,6730.3963,Item_09,4,17,12729.6631,Item_15,4,35,10366.9824,Item_61,3,26,8567.7085,Item_10,4,20,13864.1192,Item_46,4,32,0,1,0,0,0,26276.1739,Item_93,3,49,90699.7271,Iterm_53,4,201
24,25,18,1,Nandos_Menu_Current_Subset1_2 (1),05/21/2025 1:17:43 PM,004_Resp_018.csv,16975.1228,Item_17,4,48,16613.0508,Item_17,4,48,20824.1274,Item_53,3,48,4153.0682,Item_10,4,8,4289.7741,Item_46,4,11,0,0,0,0,0,43746.5358,Heading_13,4,68,188695.8588,Item_55,4,342
25,26,20,1,Nandos_Menu_Current_Subset1_2 (1),05/21/2025 2:24:57 PM,005_Resp_020.csv,14007.6439,Item_73,3,34,6665.284,Item_17,4,21,35522.927,Item_51,4,76,4881.862,Item_47,4,11,7607.8392,Item_30,4,23,0,1,0,1,0,57967.4774,Item_96,4,108,116010.0361,Heading_09,4,273
26,27,69,3,Nandos_Menu_NewUnique_Subset3_2,05/21/2025 2:27:03 PM,013_Resp_069.csv,17899.2501,Item_09,4,46,32156.699,Item_33,4,71,24028.6616,Item_61,3,46,14281.8944,Item_10,4,31,11617.89,Item_30,3,24,0,0,0,0,0,62148.2567,Item_19,4,103,160478.6359,Item_54,4,359
27,28,66,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/21/2025 3:14:11 PM,003_Resp_066.csv,24775.6932,Item_41,4,54,18510.9613,Item_02,4,46,71559.4906,Item_61,4,170,5107.927,Item_47,4,10,3826.3644,Item_26,4,7,0,1,1,1,1,20605.6624,Heading_10,4,45,35934.6167,Item_11,4,79
28,29,41,2,Nandos_Menu_NewFunctional_Subset2_2,05/21/2025 3:34:12 PM,008_Resp_041.csv,31766.2073,Item_02,3,44,14094.5224,Item_17,4,6,37244.1612,,3,52,38550.3233,Item_10,4,61,16211.6749,Item_26,3,26,1,1,1,1,0,50728.3035,Item_91,4,95,124415.2929,Item_16,4,272
29,30,71,3,Nandos_Menu_NewUnique_Subset3_2,05/21/2025 4:24:33 PM,012_Resp_071.csv,3184.8416,Item_09,4,9,17100.115,Item_17,4,44,8180.8885,Item_61,4,20,2830.6854,Item_47,3,5,1332.498,Item_30,4,4,0,1,1,1,0,32242.5204,Item_46,3,74,97029.5916,Item_41,4,261
30,31,63,3,Nandos_Menu_NewUnique_Subset3_2,05/21/2025 9:09:33 AM,016_Resp_063.csv,35962.3869,Item_65,3,99,9271.6259,Item_15,4,24,23601.6867,,3,61,6003.4147,Item_10,4,14,3528.8856,Item_30,4,7,0,1,0,1,0,37703.6965,Item_30,4,68,123104.5367,Item_42,4,258
31,32,16,1,Nandos_Menu_Current_Subset1_2 (1),05/21/2025 9:10:32 AM,003_Resp_016.csv,24518.5085,Item_73,4,84,68879.4472,Item_17,4,222,72340.1686,Item_84,3,221,3185.904,Item_47,4,10,2387.3752,Item_46,4,9,0,0,0,1,0,16106.3146,Item_59,4,45,75242.6379,Item_83,4,227
32,33,65,3,Nandos_Menu_NewUnique_Subset3_2,05/21/2025 9:56:23 AM,015_Resp_065.csv,44166.3403,Item_09,4,115,15716.7884,Item_15,4,40,32341.0436,Item_42,4,85,7479.9106,Item_10,3,21,5802.6094,Item_46,4,19,0,0,0,0,0,25856.2229,Item_70,4,55,112569.8601,Item_00,4,277
33,34,62,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/21/2025 10:22:22 AM,001_Resp_062.csv,27531.4895,Item_41,4,74,21933.5983,Item_17,4,59,12856.7248,,4,31,11172.2974,Item_10,3,30,18162.6676,Item_46,4,43,,,,,,28419.2256,Item_93,3,53,76002.1869,Item_61,4,200
34,35,64,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/21/2025 11:15:20 AM,002_Resp_064.csv,37172.8155,Item_41,4,69,23578.9687,Item_40,3,48,97852.0683,Item_42,4,91,4843.3253,Item_47,4,11,9437.5305,Item_30,4,25,0,1,1,1,1,48652.9527,Item_92,4,94,62089.455,Item_44,4,143
35,36,67,3,Nandos_Menu_NewUnique_Subset3_2,05/21/2025 11:17:15 AM,014_Resp_067.csv,19019.3977,Item_09,3,60,10510.2105,Item_15,4,30,31751.6122,Item_11,3,89,6025.5181,Item_47,4,13,4122.6855,Item_46,3,14,0,1,1,1,0,109103.2324,Item_26,4,151,143291.279,Item_32,4,335
36,37,17,1,Nandos_Menu_Current_Subset1_2,05/22/2025 1:11:44 PM,009_Resp_017.csv,12554.39,Item_73,4,38,7298.6447,Item_17,3,19,64808.3038,Item_60,4,142,4277.4182,Item_10,4,10,3825.3095,Item_46,4,10,0,1,1,1,0,45554.612,InfoDelivery_10,4,95,58093.4586,InfoAddDrink_01,4,122
37,38,48,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/22/2025 1:20:53 PM,007_Resp_048.csv,5938.4468,Item_65,4,14,52474.9751,Item_69,4,110,51562.1933,,3,109,19678.8116,Item_10,4,39,8574.3329,Item_30,4,21,0,1,0,1,0,64007.777,Visual_18,3,142,189785.2757,Item_65,4,428
38,39,45,2,Nandos_Menu_NewFunctional_Subset2_2,05/22/2025 2:07:10 PM,006_Resp_045.csv,44951.3504,,4,82,23142.9248,Item_69,4,58,40118.6853,Item_42,4,88,9583.2846,Item_10,4,22,27694.3127,Item_30,4,58,0,0,0,1,0,55913.7091,Item_121,4,71,106347.5399,Item_61,3,200
39,40,68,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/22/2025 2:22:04 PM,004_Resp_068.csv,94799.1454,Item_41,4,223,29059.8084,Item_16,4,58,7826.1282,Item_61,3,13,23835.0777,Item_10,4,46,4244.2097,Item_46,4,5,0,0,0,1,0,53418.173,Visual_19,3,86,40731.1635,Item_68,4,98
40,41,47,2,Nandos_Menu_NewFunctional_Subset2_2,05/22/2025 3:03:36 PM,005_Resp_047.csv,30962.725,Item_09,4,86,20610.3219,Item_17,4,49,103369.7142,Item_57,4,275,11935.4045,Item_10,4,28,3509.3025,Item_30,4,9,1,1,1,1,1,25212.6457,Item_30,4,46,64534.5821,Item_37,4,178
41,42,75,3,Nandos_Menu_NewUnique_Subset3_2,05/22/2025 3:57:11 PM,010_Resp_075.csv,74941.118,Item_65,3,161,39151.4693,Item_15,4,89,18379.2744,Item_61,4,42,27922.512,Item_47,4,51,10798.8738,Item_46,3,27,,,,,,129516.5332,Item_13,4,190,110350.8104,Item_83,4,206
42,43,44,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/22/2025 9:08:00 AM,005_Resp_044.csv,5270.3646,Item_65,3,12,13772.0646,Item_06,4,44,32422.1715,Item_61,3,104,4870.1067,Item_47,3,9,4345.7518,Item_46,3,14,0,1,0,1,0,19921.525,Item_48,3,47,41301.002,Item_51,3,138
43,44,43,2,Nandos_Menu_NewFunctional_Subset2_2,05/22/2025 9:10:43 AM,007_Resp_043.csv,21664.3916,Item_65,3,69,3893.6925,Item_17,4,11,31008.3268,Item_60,4,78,4692.7443,Item_10,4,15,3457.2404,Item_30,3,10,0,1,0,0,0,21621.6241,Item_67,4,53,75011.6633,Item_11,4,177
44,45,73,3,Nandos_Menu_NewUnique_Subset3_2,05/22/2025 10:14:32 AM,011_Resp_073.csv,19331.4451,Item_09,4,58,5323.5139,Item_17,4,17,4189.4857,,4,12,2972.7959,Item_47,4,7,6600.1107,Item_30,4,20,1,1,0,1,0,85386.5742,Item_48,4,173,67258.7375,Item_45,4,192
45,46,15,1,Nandos_Menu_Current_Subset1_2,05/22/2025 11:31:19 AM,010_Resp_015.csv,7547.8427,Item_73,4,18,6452.2972,Item_17,4,20,212216.8379,Item_17,3,455,3958.2862,Item_47,4,11,9248.3325,Item_30,4,31,0,1,0,1,0,77002.2184,Item_98,4,191,122200.1008,Visual_00,3,293
46,47,46,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/22/2025 11:40:36 AM,006_Resp_046.csv,6181.4349,Item_41,4,21,6051.0839,Item_15,4,20,48034.348,Item_61,3,145,5122.1533,Item_10,4,13,16314.1311,Item_46,3,46,0,0,0,1,0,78934.2632,Item_46,4,161,261221.8016,Item_24,4,545
47,48,49,2,Nandos_Menu_NewFunctional_Subset2_2,05/23/2025 1:07:51 PM,004_Resp_049.csv,230015.5856,Item_41,4,501,36584.6475,Item_17,4,89,17621.9952,Item_61,3,39,14313.4923,Item_10,4,27,6015.3133,Item_46,3,20,0,1,0,1,1,28943.5138,Iterm_58,4,47,75856.1784,Heading_08,4,157
48,49,72,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/23/2025 1:09:22 PM,005_Resp_072.csv,47204.7185,Item_65,4,122,171571.6291,Item_04,4,401,4347.8853,,3,9,4888.6027,Item_10,4,16,2638.3312,Item_30,4,6,0,0,0,1,0,50438.6973,Item_91,4,114,152223.6699,Item_65,4,394
49,50,25,1,Nandos_Menu_Current_Subset1_2,05/23/2025 3:07:42 PM,007_Resp_025.csv,7107.8334,Item_73,4,25,16309.8604,Item_17,3,44,25624.3078,Item_60,3,64,5343.7263,Item_47,4,15,2366.5842,Item_30,3,7,0,1,1,1,0,59812.4707,Item_30,4,136,63251.2458,InfoAddDrink_01,4,152
50,51,52,1,Nandos_Menu_Current_Subset1_2 (1),05/23/2025 3:08:52 PM,008_Resp_052.csv,20164.5125,Item_73,4,46,54179.1599,Item_73,4,117,17727.7784,Item_54,4,43,4716.4431,Item_47,3,11,15128.378,Item_46,4,40,0,1,0,1,1,36225.0906,Heading_15,4,73,69017.9001,Item_78,4,190
51,52,70,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/23/2025 4:14:02 PM,006_Resp_070.csv,6241.8623,Item_09,4,21,115743.1757,Item_17,4,318,64471.0818,Item_60,4,177,6964.1773,Item_47,4,19,11604.785,Item_30,3,34,0,0,0,0,0,17772.2512,Item_26,4,41,80659.6894,Item_37,4,192
52,53,77,3,Nandos_Menu_NewUnique_Subset3_2,05/23/2025 9:10:56 AM,009_Resp_077.csv,46727.5007,Item_11,4,91,23278.3981,Item_17,4,71,14276.3135,Item_61,4,42,6568.0298,Item_10,3,22,3385.8987,Item_30,4,11,0,0,0,1,0,53094.5477,Item_13,3,70,121890.7599,Item_55,3,235
53,54,24,1,Nandos_Menu_Current_Subset1_2 (1),05/23/2025 9:22:17 AM,006_Resp 024.csv,16254.6382,Item_73,4,58,14744.8358,Item_17,4,43,9165.6456,Item_83,3,29,6102.5295,Item_47,4,16,3143.1751,Item_30,3,10,0,0,0,0,0,49991.9531,Item_18,4,107,151823.8033,Item_39,3,419
54,55,26,1,Nandos_Menu_Current_Subset1_2 (1),05/23/2025 10:13:57 AM,007_Resp_026.csv,38814.644,Item_17,4,95,45540.1447,Item_72,4,128,157923.7446,Item_83,3,203,8512.654,Item_10,4,23,3499.7111,Item_30,3,10,0,0,0,1,0,33053.9812,Item_97,4,92,28098.1413,Item_84,4,86
55,56,21,1,Nandos_Menu_Current_Subset1_2,05/23/2025 11:23:53 AM,008_Resp_021.csv,6644.9448,Item_17,3,15,20980.9223,Item_73,3,69,32036.6611,Item_60,3,88,4681.344,Item_10,3,15,2836.7138,Item_109,3,6,0,0,0,1,0,54729.4629,Item_109,3,135,123787.2797,Item_73,4,288
56,57,27,1,Nandos_Menu_Current_Subset1_2,05/26/2025 1:02:36 PM,006_Resp_027.csv,8597.4348,Item_17,4,29,26761.678,Item_03,3,65,22540.83,Item_53,4,64,7682.7889,Item_10,4,27,28068.7147,,4,78,0,1,1,0,0,29859.2611,InfoDelivery_10,3,78,107167.6369,Item_42,4,268
57,58,76,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/26/2025 1:10:48 PM,008_Resp_076.csv,48910.4074,Item_09,3,130,35360.7591,Item_17,4,85,268446.5695,Item_61,3,712,53733.1566,Item_10,4,134,28413.655,Item_30,3,65,1,1,0,1,1,22801.2944,Item_59,4,46,134201.5913,Item_05,4,297
58,59,83,3,Nandos_Menu_NewUnique_Subset3_2,05/26/2025 1:58:10 PM,006_Resp_083.csv,22092.6539,Item_41,3,45,70990.1878,Item_17,4,153,49351.1935,Item_60,4,132,14927.947,Item_10,4,38,21521.0282,,4,37,0,1,0,1,0,23023.3425,Item_92,4,50,101036.127,Heading_32,3,251
59,60,58,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/26/2025 2:46:11 PM,010_Resp_058.csv,83241.7807,Item_09,4,202,27241.4501,Item_15,4,77,13529.4812,Item_61,4,30,10094.3282,Item_47,3,29,51949.1977,Item_26,4,117,0,1,0,1,1,53430.5956,Heading_23,3,72,239685.7973,Item_32,4,482
60,61,53,2,Nandos_Menu_NewFunctional_Subset2_2,05/26/2025 2:58:25 PM,002_Resp_053.csv,9798.9512,Item_09,4,33,9543.1009,Item_17,4,25,8146.4071,Item_65,3,23,11831.4124,Item_10,3,35,3571.8408,Item_30,4,9,0,1,0,1,0,45895.0874,Item_26,4,81,74337.1858,Item_21,4,179
61,62,28,1,Nandos_Menu_Current_Subset1_2 (1),05/26/2025 3:45:51 PM,009_Resp_028.csv,5766.2114,Item_06,3,10,16982.037,Item_06,4,50,38292.0716,Item_16,3,101,4224.4561,Item_47,3,10,6365.9202,Item_30,4,20,0,0,0,1,0,67549.1258,InfoNon-Alc_09,3,166,176361.854,Item_20,4,476
62,63,85,3,Nandos_Menu_NewUnique_Subset3_2,05/26/2025 4:05:23 PM,005_Resp_085.csv,7600.6083,Item_08,3,25,23143.3786,Item_17,4,67,6823.7001,,3,25,8378.0944,Item_10,3,23,5934.9899,Item_30,3,15,0,1,0,0,0,29894.6844,Item_115,3,74,65318.2084,Item_20,3,167
63,64,50,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/26/2025 4:36:35 PM,011_Resp_050.csv,23949.5074,Item_65,3,57,34725.1366,Item_17,4,85,32269.0017,Item_61,4,84,5698.0435,Item_47,3,14,7017.1749,Item_46,4,20,0,1,0,0,0,35438.794,Item_116,3,83,56548.5102,Perimeter_00,3,145
64,65,79,3,Nandos_Menu_NewUnique_Subset3_2,05/26/2025 9:26:04 AM,008_Resp_079.csv,36071.239,Item_06,4,86,27278.078,,3,36,41077.1654,,3,36,17695.465,Item_10,3,46,65605.1672,Item_30,3,93,0,0,0,0,1,69345.8141,Item_18,4,112,183728.0731,Item_40,3,370
65,66,74,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/26/2025 9:51:22 AM,007_Resp_074.csv,23354.3206,Item_09,3,74,12104.0871,Item_15,4,25,15675.7938,,3,41,10348.1598,Item_10,3,26,16205.5723,Item_46,3,31,0,1,0,1,0,13820.1862,Item_30,4,27,79715.0652,Item_01,4,220
66,67,51,2,Nandos_Menu_NewFunctional_Subset2_2,05/26/2025 10:30:14 AM,003_Resp_051.csv,42686.1188,Item_32,4,93,24054.0744,Item_40,3,28,20731.3161,Item_42,3,37,18880.1301,Item_48,4,33,12475.673,Item_47,3,18,0,1,0,1,0,83665.3141,Item_70,4,179,198122.8014,Item_55,4,458
67,68,54,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/26/2025 10:43:35 AM,008_Resp_054.csv,3428.728,Item_09,4,8,26525.8169,Item_17,4,75,5697.8609,Item_79,3,21,4061.7495,Item_47,4,12,25733.5968,Item_30,4,72,0,0,0,0,1,19375.0348,Item_48,4,39,37807.724,Item_114,4,87
68,69,56,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/26/2025 11:30:21 AM,009_Resp_056.csv,3657.8509,Item_65,4,11,10779.364,Item_17,4,19,124432.3677,Item_61,3,287,3786.1909,Item_10,4,11,2331.0781,Item_30,4,5,0,1,0,1,0,73122.8345,Item_26,4,146,148351.998,Item_31,3,343
69,70,81,3,Nandos_Menu_NewUnique_Subset3_2,05/26/2025 11:31:52 AM,007_Resp_081.csv,104158.9789,,3,237,99299.4227,Item_69,4,174,16016.8656,,3,35,16854.1425,Item_47,4,38,18895.3332,Item_46,4,50,0,1,1,1,1,0,0,0,0,54462.6851,Item_81,3,113
70,71,89,3,Nandos_Menu_NewUnique_Subset3_2,05/27/2025 1:08:11 PM,003_Resp_089.csv,25304.2075,Item_41,4,83,14469.2636,Item_15,4,37,23289.7837,Item_114,4,62,10067.8384,Item_10,4,23,16942.4283,,3,37,0,0,0,1,1,50083.1952,Item_26,4,101,93908.7859,Item_09,4,247
71,72,64,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/27/2025 1:10:16 PM,014_Resp_064.csv,50166.3021,Item_09,4,132,14048.5372,Item_17,4,41,13180.0611,Item_61,3,35,5261.0339,Item_10,4,16,4441.9822,Item_30,3,8,,,,,,34341.5267,Visual_19,3,76,93254.236,Iterm_53,4,241
72,73,9,1,Nandos_Menu_Current_Subset1_2,05/27/2025 2:09:54 PM,004_Resp_009.csv,7939.2467,Item_17,3,23,14594.8474,Item_17,4,38,41772.1961,Item_78,3,99,6894.2265,Item_10,4,18,4643.4146,Item_30,3,10,0,1,0,1,0,89067.9547,Item_106,4,169,106092.5167,Item_15,4,285
73,74,66,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/27/2025 2:31:05 PM,015_Resp_066.csv,53522.7426,Item_09,3,153,12938.7477,Item_15,4,35,8868.0204,,4,30,10577.1018,Item_47,3,26,7707.9418,Item_46,3,17,,,,,,31955.7833,Heading_23,4,69,112394.3297,Item_32,4,240
