respondent,resp_id_old,subset,subset_old,survey_immediate_start
38,48,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/22/2025 1:20:53 PM
39,45,2,Nandos_Menu_NewFunctional_Subset2_2,05/22/2025 2:07:10 PM
40,68,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/22/2025 2:22:04 PM
41,47,2,Nandos_Menu_NewFunctional_Subset2_2,05/22/2025 3:03:36 PM
42,75,3,Nandos_Menu_NewUnique_Subset3_2,05/22/2025 3:57:11 PM
43,44,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/22/2025 9:08:00 AM
44,43,2,Nandos_Menu_NewFunctional_Subset2_2,05/22/2025 9:10:43 AM
45,73,3,Nandos_Menu_NewUnique_Subset3_2,05/22/2025 10:14:32 AM
46,15,1,Nandos_Menu_Current_Subset1_2,05/22/2025 11:31:19 AM
47,46,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/22/2025 11:40:36 AM
48,49,2,Nandos_Menu_NewFunctional_Subset2_2,05/23/2025 1:07:51 PM
49,72,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/23/2025 1:09:22 PM
50,25,1,Nandos_Menu_Current_Subset1_2,05/23/2025 3:07:42 PM
51,52,1,Nandos_Menu_Current_Subset1_2 (1),05/23/2025 3:08:52 PM
52,70,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/23/2025 4:14:02 PM
53,77,3,Nandos_Menu_NewUnique_Subset3_2,05/23/2025 9:10:56 AM
54,24,1,Nandos_Menu_Current_Subset1_2 (1),05/23/2025 9:22:17 AM
55,26,1,Nandos_Menu_Current_Subset1_2 (1),05/23/2025 10:13:57 AM
56,21,1,Nandos_Menu_Current_Subset1_2,05/23/2025 11:23:53 AM
57,27,1,Nandos_Menu_Current_Subset1_2,05/26/2025 1:02:36 PM
58,76,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/26/2025 1:10:48 PM
59,83,3,Nandos_Menu_NewUnique_Subset3_2,05/26/2025 1:58:10 PM
60,58,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/26/2025 2:46:11 PM
61,53,2,Nandos_Menu_NewFunctional_Subset2_2,05/26/2025 2:58:25 PM
62,28,1,Nandos_Menu_Current_Subset1_2 (1),05/26/2025 3:45:51 PM
63,85,3,Nandos_Menu_NewUnique_Subset3_2,05/26/2025 4:05:23 PM
64,50,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/26/2025 4:36:35 PM
65,79,3,Nandos_Menu_NewUnique_Subset3_2,05/26/2025 9:26:04 AM
66,74,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/26/2025 9:51:22 AM
67,51,2,Nandos_Menu_NewFunctional_Subset2_2,05/26/2025 10:30:14 AM
68,54,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/26/2025 10:43:35 AM
69,56,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/26/2025 11:30:21 AM
70,81,3,Nandos_Menu_NewUnique_Subset3_2,05/26/2025 11:31:52 AM
71,89,3,Nandos_Menu_NewUnique_Subset3_2,05/27/2025 1:08:11 PM
72,64,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/27/2025 1:10:16 PM
73,9,1,Nandos_Menu_Current_Subset1_2,05/27/2025 2:09:54 PM
74,66,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/27/2025 2:31:05 PM
75,19,1,Nandos_Menu_Current_Subset1_2,05/27/2025 3:14:56 PM
76,82,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/27/2025 4:45:09 PM
77,29,1,Nandos_Menu_Current_Subset1_2,05/27/2025 9:00:22 AM
78,60,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/27/2025 9:07:54 AM
79,55,2,Nandos_Menu_NewFunctional_Subset2_2,05/27/2025 10:00:30 AM
80,62,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/27/2025 10:22:15 AM
81,78,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/27/2025 11:12:07 AM
82,22,1,Nandos_Menu_Current_Subset1_2,05/28/2025 9:19:24 AM
83,57,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/28/2025 9:47:05 AM
84,88,3,Nandos_Menu_NewUnique_Subset3_2,05/28/2025 10:17:14 AM
85,84,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/28/2025 10:32:28 AM
86,90,3,Nandos_Menu_NewUnique_Subset3_2,05/28/2025 11:13:30 AM
87,86,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/28/2025 11:21:26 AM
88,87,3,Nandos_Menu_NewUnique_Subset3_2,05/28/2025 12:07:04 PM
89,80,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/28/2025 12:23:44 PM
90,30,1,Nandos_Menu_Current_Subset1_2,05/28/2025 12:54:30 PM
